Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
10,6,2021,44.2492,1000,22.5993,,,,,
11,6,2021,44.4556,1000,22.4944,,,,,
14,6,2021,44.3765,1000,22.5344,,,,,
15,6,2021,44.7675,1000,22.3376,,,,,
16,6,2021,44.6364,1000,22.4032,,,,,
17,6,2021,44.3599,1000,22.5429,,,,,
18,6,2021,44.4144,1000,22.5152,,,,,
21,6,2021,44.3401,1000,22.5529,,,,,
22,6,2021,44.404,1000,22.5205,,,,,
23,6,2021,44.5368,1000,22.4533,,,,,
24,6,2021,44.702,1000,22.3704,,,,,
25,6,2021,45.0229,1000,22.2109,,,,,
28,6,2021,45.087,1000,22.1793,,,,,
29,6,2021,45.2174,1000,22.1154,,,,,
30,6,2021,45.3363,1000,22.0574,,,,,
1,7,2021,45.4065,1000,22.0233,,,,,
2,7,2021,45.6437,1000,21.9088,,,,,
5,7,2021,46.0213,1000,21.7291,,,,,
6,7,2021,46.1244,1000,21.6805,,,,,
7,7,2021,46.1991,1000,21.6454,,,,,
8,7,2021,46.1702,1000,21.659,,,,,
9,7,2021,46.1102,1000,21.6872,,,,,
12,7,2021,46.2927,1000,21.6017,,,,,
13,7,2021,47.0017,1000,21.2758,,,,,
14,7,2021,47.4627,1000,21.0692,,,,,
15,7,2021,47.8948,1000,20.8791,,,,,
16,7,2021,47.9662,1000,20.848,,,,,
19,7,2021,48.0813,1000,20.7981,,,,,
20,7,2021,47.3828,1000,21.1047,,,,,
22,7,2021,47.7839,1000,20.9276,,,,,
23,7,2021,48.2058,1000,20.7444,,,,,
26,7,2021,48.9397,1000,20.4333,,,,,
27,7,2021,48.6002,1000,20.576,,,,,
28,7,2021,48.1594,1000,20.7644,,,,,
29,7,2021,48.5106,1000,20.6141,,,,,
30,7,2021,48.4446,1000,20.6421,,,,,
2,8,2021,48.4054,1000,20.6589,,,,,
3,8,2021,48.4749,1000,20.6292,,,,,
4,8,2021,48.394,1000,20.6637,,,,,
5,8,2021,48.6771,1000,20.5435,,,,,
6,8,2021,48.8053,1000,20.4896,,,,,
9,8,2021,48.7229,1000,20.5242,,,,,
10,8,2021,48.5483,1000,20.598,,,,,
11,8,2021,48.1979,1000,20.7478,,,,,
12,8,2021,48.4442,1000,20.6423,,,,,
13,8,2021,48.8012,1000,20.4913,,,,,
16,8,2021,48.652,1000,20.5541,,,,,
17,8,2021,48.918,1000,20.4424,,,,,
18,8,2021,48.6445,1000,20.5573,,,,,
20,8,2021,48.2933,1000,20.7068,,,,,
23,8,2021,48.4876,1000,20.6238,,,,,
24,8,2021,48.8341,1000,20.4775,,,,,
25,8,2021,48.8973,1000,20.451,,,,,
26,8,2021,48.9972,1000,20.4093,,,,,
27,8,2021,49.103,1000,20.3654,,,,,
30,8,2021,49.8897,1000,20.0442,,,,,
31,8,2021,50.4461,1000,19.8231,,,,,
1,9,2021,50.6429,1000,19.7461,,,,,
2,9,2021,50.8516,1000,19.6651,,,,,
3,9,2021,50.8748,1000,19.6561,,,,,
6,9,2021,51.1825,1000,19.5379,,,,,
7,9,2021,51.1614,1000,19.546,,,,,
8,9,2021,51.5152,1000,19.4117,,,,,
9,9,2021,51.6646,1000,19.3556,,,,,
13,9,2021,51.6794,1000,19.3501,,,,,
14,9,2021,51.8374,1000,19.2911,,,,,
15,9,2021,52.2115,1000,19.1529,,,,,
16,9,2021,52.8298,1000,18.9287,,,,,
17,9,2021,52.6471,1000,18.9944,,,,,
20,9,2021,52.1725,1000,19.1672,,,,,
21,9,2021,52.3178,1000,19.114,,,,,
22,9,2021,52.6773,1000,18.9835,,,,,
23,9,2021,53.1066,1000,18.8301,,,,,
24,9,2021,53.0437,1000,18.8524,,,,,
27,9,2021,53.1759,1000,18.8055,,,,,
28,9,2021,52.7502,1000,18.9573,,,,,
29,9,2021,52.3671,1000,19.096,,,,,
30,9,2021,52.3564,1000,19.0999,,,,,
1,10,2021,51.9893,1000,19.2347,,,,,
4,10,2021,52.6366,1000,18.9982,,,,,
5,10,2021,52.166,1000,19.1696,,,,,
6,10,2021,52.0733,1000,19.2037,,,,,
7,10,2021,52.6194,1000,19.0044,,,,,
8,10,2021,53.271,1000,18.7719,,,,,
11,10,2021,53.9114,1000,18.549,,,,,
12,10,2021,53.9816,1000,18.5248,,,,,
13,10,2021,54.1497,1000,18.4673,,,,,
14,10,2021,54.7199,1000,18.2749,,,,,
18,10,2021,55.1387,1000,18.1361,,,,,
19,10,2021,55.3163,1000,18.0779,,,,,
20,10,2021,54.8756,1000,18.223,,,,,
21,10,2021,54.3197,1000,18.4095,,,,,
22,10,2021,54.0658,1000,18.496,,,,,
25,10,2021,53.2408,1000,18.7826,,,,,
26,10,2021,53.5766,1000,18.6649,,,,,
27,10,2021,53.6498,1000,18.6394,,,,,
28,10,2021,53.0647,1000,18.8449,,,,,
29,10,2021,53.1438,1000,18.8169,,,,,
1,11,2021,53.7905,1000,18.5906,,,,,
2,11,2021,53.7451,1000,18.6063,,,,,
3,11,2021,53.548,1000,18.6748,,,,,
8,11,2021,54.8171,1000,18.2425,,,,,
9,11,2021,54.8221,1000,18.2408,,,,,
10,11,2021,55.0145,1000,18.177,,,,,
11,11,2021,54.3384,1000,18.4032,,,,,
12,11,2021,54.5542,1000,18.3304,,,,,
15,11,2021,55.2368,1000,18.1039,,,,,
16,11,2021,55.1374,1000,18.1365,,,,,
17,11,2021,55.0688,1000,18.1591,,,,,
18,11,2021,54.5367,1000,18.3363,,,,,
22,11,2021,54.1178,1000,18.4782,,,,,
23,11,2021,54.224,1000,18.442,,,,,
24,11,2021,53.9649,1000,18.5306,,,,,
25,11,2021,54.0364,1000,18.506,,,,,
26,11,2021,53.3463,1000,18.7454,,,,,
29,11,2021,52.5746,1000,19.0206,,,,,
30,11,2021,53.1762,1000,18.8054,,,,,
1,12,2021,53.0511,1000,18.8498,,,,,
2,12,2021,53.462,1000,18.7049,,,,,
3,12,2021,53.426,1000,18.7175,,,,,
6,12,2021,52.5329,1000,19.0357,,,,,
