Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
14,8,2023,115.9517,2000,17.2486,,,,,
16,8,2023,115.6198,2000,17.2981,,,,,
17,8,2023,116.1604,2000,17.2176,,,,,
18,8,2023,115.9324,2000,17.2514,,,,,
21,8,2023,116.701,2000,17.1378,,,,,
22,8,2023,117.7906,2000,16.9793,,,,,
23,8,2023,118.4425,2000,16.8858,,,,,
24,8,2023,118.1843,2000,16.9227,,,,,
25,8,2023,118.0735,2000,16.9386,,,,,
28,8,2023,118.743,2000,16.8431,,,,,
29,8,2023,119.3038,2000,16.7639,,,,,
30,8,2023,120.0462,2000,16.6603,,,,,
31,8,2023,121.157,2000,16.5075,,,,,
1,9,2023,122.1629,2000,16.3716,,,,,
4,9,2023,123.3425,2000,16.215,,,,,
5,9,2023,124.3103,2000,16.0888,,,,,
6,9,2023,124.2334,2000,16.0987,,,,,
7,9,2023,124.5977,2000,16.0517,,,,,
8,9,2023,125.4461,2000,15.9431,,,,,
11,9,2023,126.5262,2000,15.807,,,,,
12,9,2023,122.0915,2000,16.3812,,,,,
13,9,2023,123.15,2000,16.2404,,,,,
14,9,2023,124.0678,2000,16.1202,,,,,
15,9,2023,124.0246,2000,16.1258,,,,,
18,9,2023,123.2336,2000,16.2293,,,,,
20,9,2023,122.4658,2000,16.3311,,,,,
21,9,2023,121.3072,2000,16.4871,,,,,
22,9,2023,121.1794,2000,16.5045,,,,,
25,9,2023,121.4677,2000,16.4653,,,,,
26,9,2023,121.9843,2000,16.3956,,,,,
27,9,2023,122.5857,2000,16.3151,,,,,
29,9,2023,122.6485,2000,16.3068,,,,,
3,10,2023,123.2186,2000,16.2313,,,,,
4,10,2023,122.0034,2000,16.393,,,,,
5,10,2023,122.6614,2000,16.305,,,,,
6,10,2023,123.3582,2000,16.2129,,,,,
9,10,2023,121.6474,2000,16.441,,,,,
10,10,2023,122.9669,2000,16.2645,,,,,
11,10,2023,123.7212,2000,16.1654,,,,,
12,10,2023,124.2841,2000,16.0922,,,,,
13,10,2023,124.1448,2000,16.1102,,,,,
16,10,2023,124.528,2000,16.0606,,,,,
17,10,2023,125.0843,2000,15.9892,,,,,
18,10,2023,124.6406,2000,16.0461,,,,,
19,10,2023,124.5613,2000,16.0564,,,,,
20,10,2023,123.9458,2000,16.1361,,,,,
23,10,2023,119.7977,2000,16.6948,,,,,
